epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5173,1.813,3.42032,1.94232,0.1463,0.20139,0.07754,0.02409,2.19566,5.54691,2.58489,0.000662447,0.000662447,0.000662447
2,39.726,1.94873,2.68116,2.02697,0.35505,0.10764,0.10625,0.0409,2.81678,3.58462,2.93236,0.00132034,0.00132034,0.00132034
3,57.8187,1.98694,2.40066,2.08333,0.41604,0.22917,0.21261,0.07623,2.26387,3.02097,2.56218,0.00196944,0.00196944,0.00196944
4,76.2298,1.94961,2.28668,2.04831,0.29633,0.26736,0.18664,0.06229,2.50028,3.03739,2.79737,0.0019604,0.0019604,0.0019604
5,94.1351,1.94024,2.14626,2.00569,0.2511,0.36806,0.2227,0.07291,2.20339,2.89867,2.43395,0.0019472,0.0019472,0.0019472
6,111.938,1.89115,2.01869,1.98471,0.42983,0.42708,0.41056,0.15463,2.12385,3.1515,2.42228,0.001934,0.001934,0.001934
7,129.787,1.87224,1.89085,1.94201,0.64404,0.40278,0.44712,0.16362,2.00902,2.40824,2.25162,0.0019208,0.0019208,0.0019208
8,147.466,1.82856,1.87424,1.94289,0.53915,0.53472,0.52059,0.20094,2.04941,1.89011,2.28781,0.0019076,0.0019076,0.0019076
9,165.126,1.80751,1.81184,1.91668,0.46937,0.44444,0.48222,0.19689,2.00891,1.85157,2.22389,0.0018944,0.0018944,0.0018944
10,182.875,1.79924,1.7547,1.89724,0.64442,0.48264,0.50666,0.20784,2.14183,2.07782,2.46147,0.0018812,0.0018812,0.0018812
11,200.625,1.76202,1.70986,1.87719,0.57951,0.43056,0.46152,0.17896,2.13071,1.97518,2.41951,0.001868,0.001868,0.001868
12,218.229,1.77376,1.67088,1.86064,0.65053,0.55556,0.56564,0.23715,2.00299,1.79109,2.25285,0.0018548,0.0018548,0.0018548
13,236.178,1.74147,1.59304,1.82446,0.70417,0.5,0.61643,0.25857,1.98124,1.60025,2.17315,0.0018416,0.0018416,0.0018416
14,253.84,1.73652,1.60144,1.84322,0.61559,0.61111,0.57535,0.24278,1.9399,1.9445,2.19781,0.0018284,0.0018284,0.0018284
15,271.496,1.7268,1.53452,1.81787,0.74092,0.57593,0.63013,0.26803,1.9416,1.60993,2.21834,0.0018152,0.0018152,0.0018152
16,289.129,1.68693,1.51151,1.80497,0.80434,0.55903,0.62517,0.26495,2.03503,1.65666,2.26163,0.001802,0.001802,0.001802
17,306.868,1.7282,1.49789,1.82574,0.72242,0.58333,0.64,0.26729,1.91185,1.60755,2.15704,0.0017888,0.0017888,0.0017888
18,324.488,1.68993,1.43715,1.79679,0.74702,0.52778,0.58193,0.22774,2.0934,1.68431,2.36213,0.0017756,0.0017756,0.0017756
19,342.86,1.71109,1.45099,1.81779,0.69911,0.57639,0.66198,0.26799,2.04725,1.50136,2.23388,0.0017624,0.0017624,0.0017624
20,361.463,1.69227,1.43811,1.78207,0.80344,0.60069,0.67215,0.27061,2.04015,1.60634,2.28954,0.0017492,0.0017492,0.0017492
21,379.781,1.71542,1.3965,1.79834,0.72379,0.59722,0.63832,0.24894,2.05633,1.50574,2.29869,0.001736,0.001736,0.001736
22,397.865,1.68465,1.37304,1.77228,0.74626,0.53103,0.6193,0.257,2.12228,1.55499,2.37006,0.0017228,0.0017228,0.0017228
23,415.97,1.65751,1.34116,1.75855,0.81484,0.59375,0.69207,0.27929,2.04115,1.39447,2.24133,0.0017096,0.0017096,0.0017096
24,434.209,1.6671,1.35575,1.77663,0.78258,0.61111,0.67865,0.27243,2.01338,1.43685,2.23968,0.0016964,0.0016964,0.0016964
25,452.174,1.66771,1.32841,1.7585,0.8431,0.59704,0.69608,0.30324,1.98015,1.42384,2.19155,0.0016832,0.0016832,0.0016832
26,470.415,1.64926,1.34476,1.75765,0.84939,0.55903,0.62854,0.27302,1.98492,1.57255,2.23532,0.00167,0.00167,0.00167
27,488.722,1.63424,1.29189,1.76572,0.81053,0.53819,0.67235,0.2869,2.0215,1.4139,2.21574,0.0016568,0.0016568,0.0016568
28,506.938,1.64566,1.27173,1.76341,0.76589,0.64583,0.69527,0.29385,1.98185,1.36565,2.19611,0.0016436,0.0016436,0.0016436
29,525.3,1.64609,1.28572,1.73487,0.85319,0.44792,0.55447,0.25085,2.02254,1.9147,2.29786,0.0016304,0.0016304,0.0016304
30,543.69,1.61937,1.23301,1.72839,0.73348,0.64981,0.6774,0.29078,1.97515,1.40482,2.25445,0.0016172,0.0016172,0.0016172
31,562.06,1.65205,1.22576,1.75841,0.7614,0.61111,0.65094,0.26894,2.06763,1.41987,2.28919,0.001604,0.001604,0.001604
32,580.399,1.60125,1.22983,1.72034,0.72983,0.6003,0.66098,0.26682,2.05409,1.30765,2.31663,0.0015908,0.0015908,0.0015908
33,598.273,1.61399,1.22637,1.72997,0.80085,0.62847,0.68667,0.28429,2.07445,1.43913,2.28983,0.0015776,0.0015776,0.0015776
34,615.84,1.61125,1.19666,1.7118,0.80177,0.58333,0.68527,0.27449,2.04386,1.45365,2.31491,0.0015644,0.0015644,0.0015644
35,633.472,1.63321,1.2167,1.73072,0.81835,0.64583,0.6865,0.29928,2.03379,1.38952,2.29849,0.0015512,0.0015512,0.0015512
36,651.131,1.57228,1.20037,1.69669,0.78962,0.64236,0.73021,0.31866,2.01337,1.23169,2.23183,0.001538,0.001538,0.001538
37,668.914,1.57441,1.18793,1.6988,0.8247,0.58807,0.68192,0.30515,1.97933,1.48532,2.16209,0.0015248,0.0015248,0.0015248
38,686.762,1.5883,1.2212,1.71086,0.75226,0.60069,0.63714,0.25661,2.08295,1.36608,2.26957,0.0015116,0.0015116,0.0015116
39,704.502,1.57498,1.15659,1.70254,0.83852,0.61301,0.70686,0.31988,1.98485,1.31532,2.20303,0.0014984,0.0014984,0.0014984
40,722.301,1.57072,1.18348,1.68413,0.75487,0.64931,0.7139,0.30963,2.03106,1.29426,2.25813,0.0014852,0.0014852,0.0014852
41,740.039,1.56885,1.13906,1.66993,0.83357,0.62847,0.67497,0.28691,2.12831,1.32874,2.38157,0.001472,0.001472,0.001472
42,757.803,1.56358,1.16836,1.66902,0.84116,0.63194,0.72337,0.3179,1.98407,1.33933,2.15354,0.0014588,0.0014588,0.0014588
43,775.691,1.57114,1.13993,1.68034,0.86766,0.60069,0.67572,0.30399,1.99497,1.43834,2.17238,0.0014456,0.0014456,0.0014456
44,793.698,1.5612,1.1212,1.69321,0.7638,0.63889,0.70329,0.29467,2.02266,1.32056,2.26512,0.0014324,0.0014324,0.0014324
45,811.797,1.56414,1.13498,1.69733,0.79997,0.69444,0.74292,0.32334,2.02598,1.24137,2.21355,0.0014192,0.0014192,0.0014192
46,829.931,1.53595,1.10639,1.66741,0.90473,0.59354,0.6501,0.29557,2.05591,1.50182,2.29306,0.001406,0.001406,0.001406
47,848.174,1.52365,1.0627,1.6428,0.82413,0.61111,0.71905,0.31156,2.01933,1.32904,2.19351,0.0013928,0.0013928,0.0013928
48,866.461,1.556,1.10367,1.66402,0.81183,0.65915,0.72759,0.32024,2.04182,1.23525,2.24166,0.0013796,0.0013796,0.0013796
49,884.686,1.5351,1.09351,1.64217,0.88873,0.63542,0.74157,0.32707,2.01569,1.26589,2.20246,0.0013664,0.0013664,0.0013664
50,903.036,1.54211,1.07405,1.65747,0.84663,0.625,0.69744,0.29571,2.07618,1.30589,2.32587,0.0013532,0.0013532,0.0013532
51,921.323,1.54841,1.07724,1.65584,0.83998,0.61969,0.69093,0.29821,2.06005,1.41393,2.28872,0.00134,0.00134,0.00134
52,939.703,1.54298,1.05174,1.66311,0.86254,0.63183,0.74037,0.30981,2.02228,1.21693,2.25111,0.0013268,0.0013268,0.0013268
53,958.065,1.52181,1.08095,1.6598,0.78552,0.68403,0.64017,0.27513,2.07564,1.31158,2.31226,0.0013136,0.0013136,0.0013136
54,976.349,1.52693,1.06461,1.65802,0.7857,0.65972,0.66117,0.29102,2.03083,1.19007,2.21839,0.0013004,0.0013004,0.0013004
55,994.928,1.53523,1.02701,1.63961,0.82172,0.65616,0.72348,0.31811,2.00562,1.19402,2.24434,0.0012872,0.0012872,0.0012872
56,1013.43,1.50298,1.05813,1.64694,0.76253,0.68011,0.72405,0.3163,2.01458,1.23556,2.20635,0.001274,0.001274,0.001274
57,1031.21,1.50552,1.04915,1.63005,0.80818,0.65832,0.67572,0.29291,2.068,1.21083,2.27632,0.0012608,0.0012608,0.0012608
58,1049.65,1.5152,1.05757,1.65362,0.84095,0.64931,0.68312,0.30685,2.05483,1.28849,2.30528,0.0012476,0.0012476,0.0012476
59,1068.1,1.51736,1.02268,1.66502,0.81501,0.6884,0.71714,0.32474,1.99426,1.17019,2.23715,0.0012344,0.0012344,0.0012344
60,1086.41,1.50818,1.03554,1.63523,0.81671,0.61887,0.71963,0.31527,2.00966,1.26579,2.23509,0.0012212,0.0012212,0.0012212
61,1104.45,1.49104,1.00552,1.61856,0.83551,0.63542,0.70796,0.31214,2.06908,1.28108,2.28503,0.001208,0.001208,0.001208
62,1122.5,1.46553,0.99503,1.62385,0.85049,0.63206,0.69648,0.31216,2.09325,1.27864,2.32293,0.0011948,0.0011948,0.0011948
63,1140.7,1.5122,1.03262,1.65114,0.85865,0.63278,0.68825,0.30943,2.0591,1.28244,2.2789,0.0011816,0.0011816,0.0011816
64,1158.75,1.48919,0.99364,1.63695,0.79029,0.68056,0.67852,0.28084,2.04995,1.22205,2.3222,0.0011684,0.0011684,0.0011684
65,1176.68,1.49895,1.02808,1.63724,0.80958,0.61806,0.6961,0.31325,2.03556,1.29815,2.23679,0.0011552,0.0011552,0.0011552
66,1194.62,1.47373,0.99819,1.61806,0.86818,0.64236,0.71411,0.31035,2.06111,1.26576,2.26782,0.001142,0.001142,0.001142
67,1212.54,1.46546,0.97175,1.6095,0.85966,0.67708,0.76322,0.31801,2.02937,1.14012,2.2554,0.0011288,0.0011288,0.0011288
68,1230.12,1.44539,0.97435,1.6066,0.79734,0.70486,0.7429,0.31438,2.04447,1.14007,2.26571,0.0011156,0.0011156,0.0011156
69,1247.79,1.48157,0.98147,1.62708,0.88035,0.66425,0.73215,0.32661,2.01414,1.18098,2.24451,0.0011024,0.0011024,0.0011024
