epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8996,1.91388,3.71044,2.02072,0.40384,0.11111,0.10219,0.03022,2.79996,3.892,3.29149,0.000662447,0.000662447,0.000662447
2,69.5195,2.14194,2.52003,2.1987,0.01191,0.02083,0.00161,0.00044,3.88014,5.42042,4.75081,0.00132034,0.00132034,0.00132034
3,103.105,2.12707,2.51689,2.18067,0.17217,0.1892,0.07988,0.02246,2.4479,3.0999,2.70725,0.00196944,0.00196944,0.00196944
4,136.648,2.02429,2.3428,2.09455,0.25266,0.26736,0.1645,0.05587,2.42173,3.25319,2.62269,0.0019604,0.0019604,0.0019604
5,170.131,1.97664,2.30998,2.04828,0.38905,0.27431,0.28744,0.103,2.18196,2.42377,2.3516,0.0019472,0.0019472,0.0019472
6,203.486,1.93735,2.17824,2.03187,0.38317,0.18403,0.15635,0.04705,2.44168,4.695,2.661,0.001934,0.001934,0.001934
7,237.203,1.9148,2.0594,1.98643,0.39012,0.30556,0.28756,0.10756,2.12836,2.42718,2.38387,0.0019208,0.0019208,0.0019208
8,270.863,1.84909,1.92182,1.95195,0.65422,0.46181,0.49888,0.19525,2.10266,1.97943,2.34729,0.0019076,0.0019076,0.0019076
9,304.61,1.84799,1.85418,1.9443,0.47382,0.39583,0.41688,0.16768,2.00796,2.29014,2.24563,0.0018944,0.0018944,0.0018944
10,338.215,1.82732,1.79086,1.92624,0.64144,0.45346,0.45851,0.18167,2.09742,2.00479,2.33268,0.0018812,0.0018812,0.0018812
11,371.945,1.80835,1.79169,1.90394,0.52836,0.51389,0.51484,0.19982,2.0867,1.88652,2.25118,0.001868,0.001868,0.001868
12,405.605,1.80406,1.74921,1.90568,0.68432,0.48927,0.52508,0.20335,2.08879,1.93708,2.37196,0.0018548,0.0018548,0.0018548
13,439.207,1.77817,1.69801,1.85877,0.57989,0.50694,0.52647,0.19522,2.03451,2.00777,2.19901,0.0018416,0.0018416,0.0018416
14,472.588,1.77468,1.68654,1.8688,0.57887,0.53934,0.56513,0.22422,1.9552,1.85132,2.13584,0.0018284,0.0018284,0.0018284
15,506.348,1.74213,1.60237,1.82166,0.7551,0.53531,0.59406,0.25295,2.02203,1.79182,2.29488,0.0018152,0.0018152,0.0018152
16,540.007,1.74003,1.59461,1.83716,0.69622,0.34218,0.42229,0.16961,2.03312,2.57333,2.24056,0.001802,0.001802,0.001802
17,573.454,1.7347,1.55746,1.82232,0.69001,0.59375,0.64166,0.26389,1.92392,1.58613,2.16616,0.0017888,0.0017888,0.0017888
18,607.376,1.71583,1.53016,1.81116,0.69828,0.5625,0.61657,0.26501,1.95085,1.70727,2.19816,0.0017756,0.0017756,0.0017756
19,641.183,1.71735,1.51279,1.81225,0.78551,0.60417,0.66591,0.26367,2.00972,1.57181,2.21148,0.0017624,0.0017624,0.0017624
20,674.799,1.71541,1.51426,1.79291,0.74291,0.63213,0.65993,0.26618,2.02832,1.56221,2.22641,0.0017492,0.0017492,0.0017492
21,708.456,1.7147,1.45477,1.79272,0.73469,0.53125,0.56463,0.22033,2.08775,1.64049,2.38157,0.001736,0.001736,0.001736
22,742.147,1.68676,1.43297,1.78237,0.64921,0.62153,0.6735,0.28841,2.01677,1.39908,2.29699,0.0017228,0.0017228,0.0017228
23,775.91,1.6781,1.3843,1.77439,0.60232,0.4365,0.4776,0.20043,2.1299,2.09254,2.28503,0.0017096,0.0017096,0.0017096
24,809.452,1.68703,1.42286,1.78579,0.80247,0.57986,0.65411,0.2894,1.93448,1.49846,2.17017,0.0016964,0.0016964,0.0016964
25,843.105,1.67502,1.36831,1.7572,0.72528,0.57751,0.63062,0.27372,1.99003,1.54618,2.26686,0.0016832,0.0016832,0.0016832
26,876.417,1.65675,1.38558,1.76646,0.73158,0.52049,0.5972,0.23344,2.02758,1.70717,2.26932,0.00167,0.00167,0.00167
27,909.615,1.64061,1.36417,1.75508,0.77441,0.59028,0.6698,0.27618,1.95768,1.47313,2.1483,0.0016568,0.0016568,0.0016568
28,943.102,1.62962,1.29377,1.74975,0.79042,0.52431,0.62998,0.25737,2.00375,1.54213,2.24012,0.0016436,0.0016436,0.0016436
29,976.914,1.66366,1.31425,1.73904,0.81378,0.56141,0.64298,0.26877,1.99458,1.48311,2.25397,0.0016304,0.0016304,0.0016304
30,1010.85,1.6472,1.30469,1.74289,0.80036,0.60417,0.66815,0.2836,1.99382,1.43199,2.21364,0.0016172,0.0016172,0.0016172
31,1044.46,1.65977,1.25547,1.75921,0.80401,0.55556,0.62395,0.26179,2.02773,1.49952,2.2382,0.001604,0.001604,0.001604
32,1078.08,1.61248,1.27213,1.72489,0.67199,0.59028,0.56932,0.22359,2.12835,1.59339,2.38267,0.0015908,0.0015908,0.0015908
33,1111.7,1.60771,1.25294,1.72134,0.83575,0.61806,0.65962,0.28367,2.01724,1.46588,2.22534,0.0015776,0.0015776,0.0015776
34,1145.24,1.61707,1.26429,1.72022,0.7148,0.58333,0.60771,0.26035,2.08214,1.48417,2.38655,0.0015644,0.0015644,0.0015644
35,1178.89,1.62915,1.25327,1.72801,0.8114,0.60764,0.67538,0.28674,2.00078,1.40429,2.18561,0.0015512,0.0015512,0.0015512
36,1212.48,1.5872,1.23601,1.70809,0.75051,0.54167,0.59234,0.25,2.04495,1.5308,2.27327,0.001538,0.001538,0.001538
37,1246.06,1.591,1.21728,1.71538,0.76389,0.60661,0.6781,0.27796,2.03445,1.41079,2.25324,0.0015248,0.0015248,0.0015248
38,1279.66,1.60299,1.25571,1.73046,0.78239,0.57426,0.62737,0.28508,2.04218,1.50393,2.27444,0.0015116,0.0015116,0.0015116
39,1313.31,1.57291,1.19549,1.70612,0.80478,0.61458,0.68063,0.28704,2.04592,1.45795,2.27031,0.0014984,0.0014984,0.0014984
40,1347,1.59915,1.23586,1.70156,0.79997,0.64931,0.69212,0.29185,2.01253,1.31481,2.21637,0.0014852,0.0014852,0.0014852
41,1380.95,1.57664,1.18825,1.67343,0.79047,0.66667,0.70637,0.29839,2.00266,1.3602,2.22306,0.001472,0.001472,0.001472
42,1414.41,1.56779,1.16529,1.67123,0.82763,0.66688,0.72155,0.31915,1.93779,1.33081,2.07682,0.0014588,0.0014588,0.0014588
43,1448.16,1.57782,1.15595,1.67275,0.80397,0.58681,0.66407,0.28327,1.9884,1.37202,2.19509,0.0014456,0.0014456,0.0014456
44,1481.58,1.59384,1.14908,1.70353,0.75905,0.66667,0.73132,0.3113,1.9886,1.2168,2.18836,0.0014324,0.0014324,0.0014324
45,1514.84,1.59154,1.16949,1.70391,0.80037,0.63542,0.72659,0.318,1.98773,1.22385,2.19727,0.0014192,0.0014192,0.0014192
46,1548.25,1.54938,1.13766,1.66881,0.86338,0.63542,0.6955,0.29225,2.07167,1.31159,2.29578,0.001406,0.001406,0.001406
47,1581.9,1.54691,1.11937,1.65761,0.79201,0.6875,0.71521,0.29883,2.01657,1.29326,2.20759,0.0013928,0.0013928,0.0013928
48,1615.42,1.56848,1.13593,1.67275,0.80093,0.59375,0.66903,0.30238,2.06991,1.26816,2.26393,0.0013796,0.0013796,0.0013796
49,1648.84,1.53841,1.12018,1.64855,0.77491,0.69792,0.72481,0.30777,1.99451,1.32432,2.20889,0.0013664,0.0013664,0.0013664
50,1682.6,1.55809,1.10439,1.67172,0.82507,0.59722,0.68115,0.2837,2.03076,1.42967,2.20521,0.0013532,0.0013532,0.0013532
51,1716.46,1.55456,1.10604,1.65939,0.82526,0.63954,0.66453,0.26455,2.13647,1.4345,2.34394,0.00134,0.00134,0.00134
52,1750.1,1.5492,1.07384,1.67366,0.76253,0.68056,0.69419,0.29115,2.03118,1.25265,2.24126,0.0013268,0.0013268,0.0013268
53,1783.6,1.54691,1.09783,1.65943,0.77795,0.67708,0.72215,0.31907,2.04021,1.15271,2.22476,0.0013136,0.0013136,0.0013136
54,1817.27,1.51294,1.07415,1.63676,0.79497,0.64236,0.68385,0.28475,1.99626,1.28138,2.16116,0.0013004,0.0013004,0.0013004
55,1851.01,1.55055,1.03618,1.65364,0.75377,0.63194,0.6899,0.29905,2.03366,1.26121,2.29523,0.0012872,0.0012872,0.0012872
56,1884.58,1.49548,1.05484,1.62895,0.7545,0.64583,0.68689,0.30514,2.04228,1.25441,2.21749,0.001274,0.001274,0.001274
57,1918.15,1.5151,1.04758,1.63632,0.80603,0.625,0.71143,0.30582,2.03578,1.23122,2.23646,0.0012608,0.0012608,0.0012608
58,1951.67,1.50952,1.05539,1.64441,0.79255,0.62847,0.63226,0.2521,2.12762,1.30023,2.32826,0.0012476,0.0012476,0.0012476
59,1985.19,1.51535,1.0405,1.66107,0.82776,0.63411,0.7213,0.32304,1.99281,1.2035,2.21183,0.0012344,0.0012344,0.0012344
60,2018.84,1.5297,1.06144,1.63805,0.74622,0.63889,0.6775,0.30504,1.99183,1.33989,2.18659,0.0012212,0.0012212,0.0012212
61,2052.58,1.49334,1.02385,1.61331,0.84649,0.57639,0.71091,0.32585,1.99153,1.27362,2.19766,0.001208,0.001208,0.001208
62,2086.49,1.48322,1.01699,1.62959,0.77128,0.66319,0.72122,0.30961,2.05452,1.2294,2.25209,0.0011948,0.0011948,0.0011948
63,2120,1.53533,1.03482,1.65979,0.84171,0.63542,0.67457,0.30828,2.05233,1.3737,2.27031,0.0011816,0.0011816,0.0011816
64,2153.49,1.50149,0.97847,1.62382,0.85176,0.61846,0.68773,0.30011,2.0349,1.33633,2.20292,0.0011684,0.0011684,0.0011684
65,2187.19,1.50116,1.0374,1.62635,0.82404,0.56914,0.64691,0.2839,2.09887,1.32819,2.32372,0.0011552,0.0011552,0.0011552
66,2220.75,1.48031,1.00482,1.61543,0.8682,0.61754,0.70846,0.31061,2.06184,1.19005,2.27178,0.001142,0.001142,0.001142
67,2254.4,1.45185,0.98539,1.59285,0.84843,0.66319,0.72047,0.30569,2.01397,1.22222,2.23125,0.0011288,0.0011288,0.0011288
68,2287.98,1.46475,0.98231,1.62515,0.79281,0.65972,0.7061,0.31041,2.02326,1.19563,2.23706,0.0011156,0.0011156,0.0011156
69,2321.5,1.48569,0.97019,1.63123,0.8473,0.61111,0.67223,0.2916,2.05872,1.20036,2.28867,0.0011024,0.0011024,0.0011024
70,2354.89,1.42177,0.95369,1.57905,0.83551,0.58204,0.67548,0.31235,2.01419,1.37209,2.21166,0.0010892,0.0010892,0.0010892
